geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng
1029,sao paulo,SP,-23.543769055769133,-46.63427784085132
1029,são paulo,SP,-23.537313618096828,-46.63302994561133
1030,sao paulo,SP,-23.538399296150907,-46.632887607680814
1030,são paulo,SP,-23.538363904524203,-46.63293009824575
1031,sao paulo,SP,-23.536864121011018,-46.63349313820771
1031,são paulo,SP,-23.542520789115148,-46.63533516134283
1032,sao paulo,SP,-23.53841810407414,-46.634778375266734
1032,são paulo,SP,-23.5398418758395,-46.63514797691531
1033,sao paulo,SP,-23.54032130474925,-46.636394815973325
1033,são paulo,SP,-23.54032130474925,-46.636394815973325
1034,sao paulo,SP,-23.54239162719593,-46.63770927785183
1034,são paulo,SP,-23.542106542327883,-46.63658202790115
1035,sao paulo,SP,-23.541577961711493,-46.64160722329613
1035,são paulo,SP,-23.541740936176268,-46.641356197760906
1036,sao paulo,SP,-23.541700023861782,-46.64131782056096
1036,são paulo,SP,-23.54282808353057,-46.63939930668248
1037,sao paulo,SP,-23.54562128115268,-46.63929204800168
1037,são paulo,SP,-23.54518734081604,-46.63785524104107
1038,sao paulo,SP,-23.542679676299095,-46.63819683884986
1039,sao paulo,SP,-23.54188300998332,-46.63991946670314
1039,são paulo,SP,-23.539819023861785,-46.63696720497428
1040,sao paulo,SP,-23.540316757429707,-46.63735536871719
1040,são paulo,SP,-23.539898074383967,-46.6366870320561
1041,sao paulo,SP,-23.5443921648681,-46.63949930627844
1041,são paulo,SP,-23.54320753981771,-46.64090617831388
1042,sao paulo,SP,-23.54487359810152,-46.64030309449483
1042,são paulo,SP,-23.544667372468112,-46.64066942714524
1043,sao paulo,SP,-23.54501365751052,-46.641993024150246
1043,são paulo,SP,-23.546656718016017,-46.64078762115524
1044,sao paulo,SP,-23.54575105023373,-46.64132693574358
1044,são paulo,SP,-23.544896375238064,-46.64201998306312
1045,sao paulo,SP,-23.541593762969622,-46.64189378810082
1045,são paulo,SP,-23.542482773295564,-46.64293042576988
1046,sao paulo,SP,-23.54608112703553,-46.64482029837157
1046,são paulo,SP,-23.54638197224308,-46.642893706619056
1047,sao paulo,SP,-23.54627311241268,-46.64122516971552
1047,são paulo,SP,-23.546774768769357,-46.64251431141433
1048,sao paulo,SP,-23.547052131282804,-46.639477959749584
1048,são paulo,SP,-23.547448918662464,-46.64016924063704
1049,sao paulo,SP,-23.54530659310986,-46.636994571065735
1049,são paulo,SP,-23.547792310577627,-46.6405883119626
1050,sao paulo,SP,-23.549773516504185,-46.64559900666509
1050,são paulo,SP,-23.549107326677785,-46.644104604074144
1101,sao paulo,SP,-23.533718588348005,-46.63327836278268
1102,sao paulo,SP,-23.531764819320195,-46.6321551397369
1102,são paulo,SP,-23.52261021648681,-46.62942387523806
1103,sao paulo,SP,-23.535408394396647,-46.63205279156327
1103,são paulo,SP,-23.53538864556528,-46.631747708436734
1104,sao paulo,SP,-23.535218462115523,-46.62461223313523
1104,são paulo,SP,-23.535070805989985,-46.629288864418015
1105,sao paulo,SP,-23.533744232586976,-46.63063486274458
1105,são paulo,SP,-23.534322653067107,-46.63016314793123
1106,sao paulo,SP,-23.53249635607949,-46.62640566388715
1106,são paulo,SP,-23.531062064948905,-46.62950527892556
1107,sao paulo,SP,-23.522004902014046,-46.63397365860703
1107,são paulo,SP,-23.521656419429934,-46.63442349713816
1108,sao paulo,SP,-23.52375957536492,-46.6324154521322
1109,sao paulo,SP,-23.525355372756565,-46.62754223036526
1109,são paulo,SP,-23.523175088550897,-46.62876729892087
1120,sao paulo,SP,-23.53076048626577,-46.639216010416
1120,são paulo,SP,-23.53210825506378,-46.63839470107914
1121,sao paulo,SP,-23.524588477378973,-46.634392141554585
1121,são paulo,SP,-23.529147045242063,-46.63577569080736
1122,sao paulo,SP,-23.529452951151256,-46.64069624923539
1122,são paulo,SP,-23.531280767701485,-46.637260391482464
1123,sao paulo,SP,-23.529307180131543,-46.63490526351788
1123,são paulo,SP,-23.529671716631043,-46.63543928504239
1124,sao paulo,SP,-23.527367392723217,-46.63188348903572
1124,são paulo,SP,-23.527367392723217,-46.63188348903572
1125,sao paulo,SP,-23.529050497085805,-46.63889432139766
1125,são paulo,SP,-23.53025382514857,-46.6385090177736
1126,sao paulo,SP,-23.52915073382772,-46.64042336234055
1126,são paulo,SP,-23.52658240106176,-46.63960905675459
1127,sao paulo,SP,-23.52773504025041,-46.64480016028046
1127,são paulo,SP,-23.526438537884477,-46.63897436288881
1128,sao paulo,SP,-23.52296856571061,-46.64174928255676
1128,são paulo,SP,-23.52535070107914,-46.64006416916728
1129,sao paulo,SP,-23.5259237463212,-46.642131776011375
1129,são paulo,SP,-23.522191449622035,-46.64250249861501
1130,sao paulo,SP,-23.52663823480868,-46.64380970358929
1130,são paulo,SP,-23.522687424086826,-46.64682152415025
1131,sao paulo,SP,-23.52164183207347,-46.64747554830047
1131,são paulo,SP,-23.522153615875126,-46.64512644962205
1132,sao paulo,SP,-23.51929180460501,-46.64980089647412
1132,são paulo,SP,-23.520905455450425,-46.64840659893825
1133,sao paulo,SP,-23.522591105747573,-46.651049014715184
1133,são paulo,SP,-23.51965249624909,-46.65516216180967
1134,sao paulo,SP,-23.51867680707737,-46.6531159131789
1134,são paulo,SP,-23.51867680707737,-46.6531159131789
1135,sao paulo,SP,-23.52122103136361,-46.65296293450282
1135,são paulo,SP,-23.52677153944895,-46.65216092610854
1136,sao paulo,SP,-23.524503527612687,-46.659004486121546
1136,são paulo,SP,-23.52350959838998,-46.666944167638064
1137,sao paulo,SP,-23.523144766840574,-46.65166009603059
1137,são paulo,SP,-23.51957274271452,-46.654271565497176
1138,sao paulo,SP,-23.5188254074384,-46.65562359824576
1138,são paulo,SP,-23.52195649624909,-46.65414153136359
1139,sao paulo,SP,-23.52076037607479,-46.661384138207694
1139,são paulo,SP,-23.522467263402323,-46.66066743228114
1140,sao paulo,SP,-23.517930174303164,-46.66742959008009
1140,são paulo,SP,-23.52564861281671,-46.66180787607479
1141,sao paulo,SP,-23.522751156269763,-46.670746148219685
1141,são paulo,SP,-23.52011919677996,-46.66584000098096
1142,sao paulo,SP,-23.51993430515264,-46.6251300217966
1142,são paulo,SP,-23.51993430515264,-46.6251300217966
1144,sao paulo,SP,-23.52362350735759,-46.67201579877662
1144,são paulo,SP,-23.523846601708204,-46.67362071135091
1150,sao paulo,SP,-23.532255303364263,-46.662756071469765
1150,são paulo,SP,-23.53416257481785,-46.65547667412762
1151,sao paulo,SP,-23.527788191788307,-46.66030962184773
1151,são paulo,SP,-23.530051666108854,-46.65775459686078
1152,sao paulo,SP,-23.52916893282939,-46.65214846073055
1152,são paulo,SP,-23.531135207051744,-46.65456294907377
1153,sao paulo,SP,-23.52811869885744,-46.65645154579032
1153,são paulo,SP,-23.52811869885744,-46.65645154579032
1154,sao paulo,SP,-23.53158118373822,-46.66174681473255
1154,são paulo,SP,-23.531480434358603,-46.65843765834724
1155,sao paulo,SP,-23.52878808243405,-46.664404203300826
1155,são paulo,SP,-23.52899269085843,-46.66291915185066
1156,sao paulo,SP,-23.531495310835297,-46.66274838217697
1156,são paulo,SP,-23.5298272739339,-46.66466605744709
1189,sao paulo,SP,-23.53210825506378,-46.63839470107914
1200,sao paulo,SP,-23.531567773241413,-46.64986907784642
1201,sao paulo,SP,-23.53435725950717,-46.64935629739165
1201,são paulo,SP,-23.535754344711183,-46.65300535720467
1202,sao paulo,SP,-23.53258141993188,-46.6491831962317
1202,são paulo,SP,-23.530243903687488,-46.65091042186511
1203,sao paulo,SP,-23.537119379681474,-46.64438743865777
1203,são paulo,SP,-23.530109175688136,-46.64974445490216
1204,sao paulo,SP,-23.53680115237462,-46.644416271856414
1204,são paulo,SP,-23.53212525950718,-46.64698684554789
1205,sao paulo,SP,-23.53176047100233,-46.64592571455356
1205,são paulo,SP,-23.53176047100233,-46.64592571455356
1206,sao paulo,SP,-23.535535799324883,-46.64305202830518
1206,são paulo,SP,-23.536589999999933,-46.64272999999997
1207,sao paulo,SP,-23.536840620318525,-46.640393035807016
1207,são paulo,SP,-23.539369243407013,-46.638486209821714
1208,sao paulo,SP,-23.540822507357586,-46.6397147149576
1208,são paulo,SP,-23.53998364224707,-46.638626940879455
1209,sao paulo,SP,-23.539446764643067,-46.639378335968615
1209,são paulo,SP,-23.541048513185963,-46.64184841687344
1210,sao paulo,SP,-23.54181492728946,-46.64390112337694
1210,são paulo,SP,-23.540860990564934,-46.64385528059898
1211,sao paulo,SP,-23.53582223582903,-46.651605049299015
1211,são paulo,SP,-23.53846668665242,-46.64741532001269
1212,sao paulo,SP,-23.53708367277396,-46.639449309048416
1212,são paulo,SP,-23.537511255832708,-46.63705730743676
1213,sao paulo,SP,-23.536400280050746,-46.64003758881069
1214,sao paulo,SP,-23.53569581346678,-46.64141313885349
1214,são paulo,SP,-23.53842511241268,-46.64503764418031
1215,sao paulo,SP,-23.53655002580364,-46.649225050085455
1215,são paulo,SP,-23.537982300854097,-46.64927618235323
1216,sao paulo,SP,-23.53597285667968,-46.651407002063245
1216,são paulo,SP,-23.533427242570298,-46.64757870788846
1217,sao paulo,SP,-23.533844773241405,-46.64940663613022
1217,são paulo,SP,-23.529235452680464,-46.64531620344507
1218,sao paulo,SP,-23.5340505,-46.6411545
1218,são paulo,SP,-23.531544680824037,-46.65066866833055
1219,sao paulo,SP,-23.540223573951277,-46.645277138092126
1219,são paulo,SP,-23.541781452680464,-46.64751202553524
1220,sao paulo,SP,-23.542757999999992,-46.64547398167813
1220,são paulo,SP,-23.54447196058631,-46.64449265557727
1221,sao paulo,SP,-23.54601532944774,-46.64900196003804
1221,são paulo,SP,-23.545889329447743,-46.64900098557327
1222,sao paulo,SP,-23.54575486372553,-46.65030098889149
1222,são paulo,SP,-23.547159576461446,-46.64989460560333
1223,sao paulo,SP,-23.54377251788917,-46.6482729970858
1223,são paulo,SP,-23.54385346378897,-46.64723352844942
1224,sao paulo,SP,-23.541718547319537,-46.64883066180968
1224,são paulo,SP,-23.542688503750917,-46.65491103136361
1225,sao paulo,SP,-23.54064714772717,-46.648251782670506
1225,são paulo,SP,-23.540829192336567,-46.6480867425703
1226,sao paulo,SP,-23.53909541909516,-46.65420062323272
1226,são paulo,SP,-23.534478565641404,-46.65502761740432
1227,sao paulo,SP,-23.537290117980763,-46.65443089812821
1227,são paulo,SP,-23.54467160343472,-46.65713680171736
1228,sao paulo,SP,-23.54839279655493,-46.659018341392965
1228,são paulo,SP,-23.54467160343472,-46.65713680171736
1229,sao paulo,SP,-23.54108734139297,-46.65733920275257
1229,são paulo,SP,-23.54059883819032,-46.65713126533555
1230,sao paulo,SP,-23.532734734664448,-46.654324449073776
1230,são paulo,SP,-23.538345600611688,-46.65772148320736
1231,sao paulo,SP,-23.5367081559813,-46.6596418411045
1231,são paulo,SP,-23.535565155981303,-46.65932489217496
1232,sao paulo,SP,-23.53676737440136,-46.65507313113856
1232,são paulo,SP,-23.537702693029058,-46.65287449624908
1233,sao paulo,SP,-23.540299470713855,-46.66278360519932
1233,são paulo,SP,-23.53995686444827,-46.66359382283071
1234,sao paulo,SP,-23.537055499855768,-46.66361722052618
1234,são paulo,SP,-23.54530496189244,-46.665850500000005
1235,sao paulo,SP,-23.53645971856428,-46.66424678602334
1235,são paulo,SP,-23.53408084762538,-46.66306879753587
1236,sao paulo,SP,-23.54169219568345,-46.66747262574287
1236,são paulo,SP,-23.54553018818163,-46.66904927240468
1237,sao paulo,SP,-23.544317693577312,-46.66982279920932
1237,são paulo,SP,-23.54243125189645,-46.66884135118257
1238,sao paulo,SP,-23.54195269441404,-46.65931762155928
1238,são paulo,SP,-23.54052443880199,-46.65050381848346
1239,sao paulo,SP,-23.548781693029053,-46.65745981155857
1239,são paulo,SP,-23.54472917790984,-46.65543714418031
1240,sao paulo,SP,-23.54378694284137,-46.65861209437926
1240,são paulo,SP,-23.543149305585967,-46.66108846225974
1241,sao paulo,SP,-23.543461121559275,-46.66298026977895
1241,são paulo,SP,-23.54567660866176,-46.6569934730798
1242,sao paulo,SP,-23.547526626983625,-46.65580327269316
1242,são paulo,SP,-23.546217583126545,-46.65880336372555
1243,sao paulo,SP,-23.54946977906979,-46.65509829793992
1243,são paulo,SP,-23.548703761873107,-46.65993304677126
1244,sao paulo,SP,-23.54499336358131,-46.65968022344037
1244,são paulo,SP,-23.55335729669916,-46.6629415567546
1245,sao paulo,SP,-23.547914025535217,-46.66427303274859
1245,são paulo,SP,-23.54929680904841,-46.66359454884875
1246,sao paulo,SP,-23.55259069386578,-46.6664048798257
1246,são paulo,SP,-23.55573377906979,-46.6664913126551
1247,sao paulo,SP,-23.550545179843088,-46.670290088118186
1247,são paulo,SP,-23.551341734760975,-46.66937701435217
1248,sao paulo,SP,-23.547307547319537,-46.66789155107045
1248,são paulo,SP,-23.547336999163274,-46.66800983458364
1249,sao paulo,SP,-23.54756594892955,-46.66977043395457
1249,são paulo,SP,-23.54803163336027,-46.6699472961509
1250,sao paulo,SP,-23.548106335564583,-46.67255083804609
1250,são paulo,SP,-23.547989807115176,-46.67229749694157
1251,sao paulo,SP,-23.550345,-46.67652450000001
1251,são paulo,SP,-23.54700826311385,-46.67399273506846
1252,sao paulo,SP,-23.54173205190716,-46.67710841548848
1252,são paulo,SP,-23.54192909853421,-46.68111560964272
1253,sao paulo,SP,-23.54320796973291,-46.680244701079125
1254,sao paulo,SP,-23.541075775463103,-46.68229311281671
1254,são paulo,SP,-23.54196785483874,-46.68191419135562
1255,sao paulo,SP,-23.545782460730543,-46.68119826089217
1255,são paulo,SP,-23.54535543796528,-46.68218841312255
1256,sao paulo,SP,-23.546716889809016,-46.68379694532285
1256,são paulo,SP,-23.54856753595123,-46.683293049685474
1257,sao paulo,SP,-23.54507217346644,-46.68438057799065
1257,são paulo,SP,-23.54206471663105,-46.68750966596462
1258,sao paulo,SP,-23.54499310130417,-46.685597180824026
1258,são paulo,SP,-23.544951443793657,-46.68830695060298
1259,sao paulo,SP,-23.54335652677597,-46.683946373016354
1259,são paulo,SP,-23.54209861143172,-46.68221411824105
1262,sao paulo,SP,-23.550856391462712,-46.67735184892536
1290,são paulo,SP,-23.54096134139296,-46.657748702752585
1301,sao paulo,SP,-23.550812799901816,-46.65525802969017
1301,são paulo,SP,-23.55260142215357,-46.658635365803015
1302,sao paulo,SP,-23.547650962519555,-46.64357747515727
1302,são paulo,SP,-23.54740796251956,-46.64477455897629
1303,sao paulo,SP,-23.55001132944774,-46.64818240521669
1303,são paulo,SP,-23.549027521236045,-46.65039768249747
1304,sao paulo,SP,-23.55217944962204,-46.652991998615015
1304,são paulo,SP,-23.551154644180315,-46.64992056786309
1305,sao paulo,SP,-23.556083049685476,-46.658022684978974
1305,são paulo,SP,-23.550904414103503,-46.64895565084541
1306,sao paulo,SP,-23.55433380183505,-46.64967363918865
1306,são paulo,SP,-23.55342904579032,-46.65070872869184
1307,sao bernardo do campo,SP,-23.556811599774967,-46.65713483250617
1307,sao paulo,SP,-23.549360699694148,-46.65412441687346
1307,são paulo,SP,-23.551910381354915,-46.64919520912921
1308,sao paulo,SP,-23.555182505135885,-46.65226234401868
1308,são paulo,SP,-23.55641963281201,-46.65272290521668
1309,sao paulo,SP,-23.55752427560734,-46.65837101249348
1309,são paulo,SP,-23.557323688585655,-46.65692890729416
1310,sao paulo,SP,-23.556926913670807,-46.6615417904381
1310,são paulo,SP,-23.56041103413356,-46.65750060115995
1311,sao paulo,SP,-23.560566359426364,-46.65761042867444
1311,são paulo,SP,-23.571018376363245,-46.64477790550516
1312,sao paulo,SP,-23.55364600943506,-46.64827785290551
1312,são paulo,SP,-23.55683964607235,-46.65177558048839
1313,sao paulo,SP,-23.556513287803007,-46.65025319729151
1313,são paulo,SP,-23.557915267557256,-46.65264992561604
1314,sao paulo,SP,-23.550271219805023,-46.641530430203645
1314,são paulo,SP,-23.55075711434592,-46.64268271870849
1315,sao paulo,SP,-23.552592988343235,-46.64068338732753
1315,são paulo,SP,-23.553461545934557,-46.64071173411618
1316,sao paulo,SP,-23.55298158090484,-46.63977389064573
1316,são paulo,SP,-23.55400761348704,-46.64019049887457
1317,sao paulo,SP,-23.56281094772712,-46.64538049222014
1317,são paulo,SP,-23.554133985636884,-46.638626176820445
1318,sao paulo,SP,-23.56503810268915,-46.64731633542034
1318,são paulo,SP,-23.564597574239738,-46.64695477422235
1319,sao paulo,SP,-23.55156260866176,-46.64021297307979
1319,são paulo,SP,-23.55156260866176,-46.64021297307979
1320,sao paulo,SP,-23.557337937272795,-46.63877749362335
1320,são paulo,SP,-23.557337937272795,-46.63877749362335
1321,sao paulo,SP,-23.55896103857696,-46.64089188579832
1321,são paulo,SP,-23.56007143297361,-46.641154432136894
1322,sao paulo,SP,-23.564189902302505,-46.64356963725542
1322,são paulo,SP,-23.56350762031853,-46.64333518789316
1323,sao paulo,SP,-23.56360092810872,-46.64096891541434
1323,são paulo,SP,-23.5617525,-46.640457
1324,sao paulo,SP,-23.551359454065437,-46.64339075477531
1324,são paulo,SP,-23.551359454065437,-46.64339075477531
1325,sao paulo,SP,-23.56040415015292,-46.64409070038665
1325,são paulo,SP,-23.556488898695815,-46.64449217485143
1326,sao paulo,SP,-23.558908285042403,-46.64517207853889
1326,são paulo,SP,-23.55436995920134,-46.64587128518662
1327,sao paulo,SP,-23.56521929669917,-46.6451517253736
1327,são paulo,SP,-23.563988276992315,-46.64564833902704
1328,sao paulo,SP,-23.55542941271852,-46.64533779225576
1328,são paulo,SP,-23.55710056341969,-46.64731278420568
1329,sao paulo,SP,-23.563145744936214,-46.64661879892085
1329,são paulo,SP,-23.562280655288813,-46.6477532596514
1330,sao paulo,SP,-23.556817623925213,-46.64986083625707
1330,são paulo,SP,-23.55684048542905,-46.64980217485141
1331,sao paulo,SP,-23.562327520947598,-46.6503277425703
1331,são paulo,SP,-23.56387772023772,-46.64962145129549
1332,sao paulo,SP,-23.559874596168275,-46.65312715543304
1332,são paulo,SP,-23.55866822952856,-46.65143692645275
1333,sao paulo,SP,-23.56356993894623,-46.65184216708981
1333,são paulo,SP,-23.56466777130817,-46.65051933472786
1401,sao paulo,SP,-23.569747571977175,-46.65100357197719
1401,são paulo,SP,-23.583534752350896,-46.669165470076585
1402,sao paulo,SP,-23.58406691212703,-46.66998067037748
1402,são paulo,SP,-23.567787000000003,-46.649099250000006
1403,sao paulo,SP,-23.563494723007683,-46.64829324424374
1403,são paulo,SP,-23.57034735804139,-46.65315099653755
1404,sao paulo,SP,-23.56994326977895,-46.657093704685806
1404,são paulo,SP,-23.5697636791506,-46.65699128810082
1405,sao paulo,SP,-23.566964123780973,-46.65698270719597
1405,são paulo,SP,-23.566964123780973,-46.65698270719597
1406,sao paulo,SP,-23.578803042183644,-46.676408212187646
1406,são paulo,SP,-23.56582006549717,-46.65801073994457
1407,sao paulo,SP,-23.5784800999192,-46.67516750652087
1407,são paulo,SP,-23.577202445467098,-46.67263107799064
1408,sao paulo,SP,-23.569438714409333,-46.66342129141903
1408,são paulo,SP,-23.569535472935566,-46.66226482278265
1409,sao paulo,SP,-23.5613664276935,-46.657593869005645
1409,são paulo,SP,-23.566544716631043,-46.66130053358531
1410,sao paulo,SP,-23.558595737434405,-46.65657075535223
1410,são paulo,SP,-23.558595737434405,-46.65657075535223
1411,sao paulo,SP,-23.568546850380155,-46.66483313596545
1411,são paulo,SP,-23.5641124118818,-46.6645303395753
1412,sao paulo,SP,-23.566386227306847,-46.66887273411619
1412,são paulo,SP,-23.5644233366611,-46.66684085068379
1413,sao paulo,SP,-23.56051177269315,-46.66268231695427
1413,são paulo,SP,-23.55863183097696,-46.66070142630853
1414,sao paulo,SP,-23.563688772693144,-46.66767281695426
1414,são paulo,SP,-23.56362276547979,-46.667603824167614
1415,sao paulo,SP,-23.551840037191976,-46.65455309547579
1415,são paulo,SP,-23.55266979739166,-46.65581891035259
1416,sao paulo,SP,-23.55951039494492,-46.66706390175425
1416,são paulo,SP,-23.55716253704776,-46.6646240111085
1417,sao paulo,SP,-23.48850962531019,-46.714606281435714
1417,são paulo,SP,-23.559649166253088,-46.66850968013156
1418,sao paulo,SP,-23.56312173510022,-46.656566708353616
1418,são paulo,SP,-23.569730382064783,-46.64842697420432
1419,sao paulo,SP,-23.557767998615013,-46.662673347769605
1419,são paulo,SP,-23.55763202415024,-46.6628128477696
1420,sao paulo,SP,-23.56851813765943,-46.65191532569683
1420,são paulo,SP,-23.55707169885744,-46.66525354579032
1421,sao paulo,SP,-23.565358896474127,-46.65789022009349
1421,são paulo,SP,-23.562331512897508,-46.66120425339033
1422,sao paulo,SP,-23.55978441771017,-46.6660792610364
1422,são paulo,SP,-23.56128467332222,-46.664292578538905
1423,sao paulo,SP,-23.568918203156603,-46.656995139736914
1423,são paulo,SP,-23.56925275298631,-46.656701816406006
1424,sao paulo,SP,-23.56816235942637,-46.66117892867444
1424,são paulo,SP,-23.57167631440858,-46.65773606307719
1425,sao paulo,SP,-23.572330354982963,-46.66082327699232
1425,são paulo,SP,-23.574092688874103,-46.65699379239997
1426,sao paulo,SP,-23.562597147293012,-46.66968807621716
1426,são paulo,SP,-23.564418610883468,-46.66758200957928
1427,sao paulo,SP,-23.573185889260767,-46.66156307369149
1427,são paulo,SP,-23.573515117952592,-46.66112293352187
1428,sao paulo,SP,-23.576461470165608,-46.65933149278663
1429,sao paulo,SP,-23.57732466333889,-46.66094126686476
1429,são paulo,SP,-23.57524108520401,-46.66307398459231
1430,sao paulo,SP,-23.881629353829144,-46.643818799723405
1430,são paulo,SP,-23.57571647155058,-46.66511003274858
1431,sao paulo,SP,-23.578166638380598,-46.66288281851213
1431,são paulo,SP,-23.57750279822837,-46.663553650297146
1432,sao paulo,SP,-23.574420691644068,-46.66422198695826
1432,são paulo,SP,-23.57539603413356,-46.66701360115995
1433,sao paulo,SP,-23.57766447322403,-46.6706568985516
1433,são paulo,SP,-23.58188488758732,-46.66848679753589
1434,sao paulo,SP,-23.57791700859833,-46.66945260115993
1434,são paulo,SP,-23.56828097307979,-46.678051880518176
1435,sao paulo,SP,-23.579681908967608,-46.66963177269314
1435,são paulo,SP,-23.5796827260661,-46.67028460851754
1436,sao paulo,SP,-23.572650803768283,-46.66771704607878
1436,são paulo,SP,-23.574139953084494,-46.66981939967676
1437,sao paulo,SP,-23.57095471827582,-46.66969642853022
1437,são paulo,SP,-23.573064311125886,-46.6720207076
1438,sao paulo,SP,-23.570325577009708,-46.67299258050082
1438,são paulo,SP,-23.57124598535904,-46.67138452488442
1439,sao paulo,SP,-23.566283267268798,-46.67340369415422
1439,são paulo,SP,-23.56546735665641,-46.67188626187309
1440,sao paulo,SP,-23.56448527782904,-46.674418610595005
1440,são paulo,SP,-23.566815250908828,-46.676311565352925
1441,sao paulo,SP,-23.56496279788524,-46.67630075455378
1441,são paulo,SP,-23.575656697760916,-46.68951882930351
1442,sao paulo,SP,-23.56370226740048,-46.67529085698279
1442,são paulo,SP,-23.57757001082004,-46.693132532892825
1443,sao paulo,SP,-23.56750865000869,-46.68471805799536
1443,são paulo,SP,-23.56789075604473,-46.68256093865777
1444,sao paulo,SP,-23.605675658895493,-46.74544468220901
1444,são paulo,SP,-23.57055155037795,-46.684618679439055
1445,sao paulo,SP,-23.568346382739897,-46.68910543089613
1445,são paulo,SP,-23.573486912574293,-46.68703823397195
1446,sao paulo,SP,-23.575692782128208,-46.67656975659298
1446,são paulo,SP,-23.57718182598529,-46.67957557868314
1447,sao paulo,SP,-23.572517679150597,-46.680710766460734
1447,são paulo,SP,-23.57251541548848,-46.6771396588955
1448,sao paulo,SP,-23.57741669608748,-46.67817482139765
1448,são paulo,SP,-23.58113513183105,-46.6831096655606
1449,sao paulo,SP,-23.576292199001667,-46.68142310352587
1449,são paulo,SP,-23.578025940331205,-46.68092451012755
1450,sao paulo,SP,-23.574925477927227,-46.68505199999999
1450,são paulo,SP,-23.575028405505154,-46.68587862753188
1451,sao paulo,SP,-23.583489065785624,-46.68508055092622
1451,são paulo,SP,-23.56955179600667,-46.6918958499913
1452,sao paulo,SP,-23.56883153079836,-46.69199439364803
1452,são paulo,SP,-23.581745036185115,-46.68398818807852
1453,sao paulo,SP,-23.583435663338896,-46.68646270038665
1453,são paulo,SP,-23.581725475157263,-46.68715826227714
1454,sao paulo,SP,-23.582148872612336,-46.68638063183105
1454,são paulo,SP,-23.582599229528547,-46.68734709409082
